[2025-07-19 20:20:30,524: INFO: main :Welcome to our custom log]
[2025-07-20 13:37:40,116: INFO: common :yaml file: config\config.yaml loaded successfully]
[2025-07-20 13:37:40,132: INFO: common :yaml file: params.yaml loaded successfully]
[2025-07-20 13:37:40,135: INFO: common :created directory at: artifacts]
[2025-07-20 13:37:40,137: INFO: common :created directory at: artifacts/data_ingestion]
[2025-07-20 15:02:38,381: INFO: common :yaml file: config\config.yaml loaded successfully]
[2025-07-20 15:02:38,399: INFO: common :yaml file: params.yaml loaded successfully]
[2025-07-20 15:02:38,408: INFO: common :created directory at: artifacts]
[2025-07-20 15:02:38,408: INFO: common :created directory at: artifacts/data_ingestion]
[2025-07-20 17:31:37,832: INFO: common :yaml file: config\config.yaml loaded successfully]
[2025-07-20 17:31:37,848: INFO: common :yaml file: params.yaml loaded successfully]
[2025-07-20 17:31:37,848: INFO: common :created directory at: artifacts]
[2025-07-20 17:31:37,848: INFO: common :created directory at: artifacts/data_ingestion]
[2025-07-20 17:31:37,848: INFO: 986331348 :Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-07-20 17:31:54,181: INFO: 986331348 :Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
